index,Maximum Installs
2273,12744
2274,615
2275,4893
2276,183
2277,4963512
2278,402
2279,676
2280,48
2281,47515
2282,3961
2283,380
2284,247
2285,93
2286,104
2287,4102
2288,15
2289,350
2290,29761
2291,2000
2292,1125
2293,196
2294,628
2295,992
2296,1694
2298,328
2299,171
2300,30967
2301,174
2302,108
2303,0
2304,11949
2305,5
2306,50557
2307,2095
2308,2039
2309,49
2310,4017
2311,13980
2312,1685
2313,247
2314,192
2315,7589
2316,13182
2317,291947
2318,22
2319,353
2321,238755
2322,951
2323,8971
2324,32
2325,26617
2326,381
2327,3546
2328,35842
2329,1847
2330,3
2331,111280
2332,859098
2333,15195
2334,5955
2335,477
2336,52031
2337,27
2338,5
2339,11711575
2340,2641
2341,1817
2342,2195
2343,117975
2344,326
2345,8035
2347,669
2348,143
2349,43
2350,4432
2351,201
2352,7300
2353,1013
2354,15
2355,3913
2356,5673
2357,26
2358,98
2359,77
2360,720856
2363,113353
2364,5687397
2365,16
2367,4497
2368,27361
2369,12066
2370,2179
2371,25
2372,364
2373,121
2374,6146
2375,7038
2376,8167
2377,1378
2378,211
2379,80
2380,8140
2381,737
2382,42
2383,1168
2385,947
2386,31576
2387,219055
2388,1960
2389,2995
2390,3
2391,5795
2392,37
2393,1920
2394,3509
2395,8644
2397,3606
2398,112
2399,82
2400,54
2402,3179
2403,333819
2404,58
2405,17
2406,407
2407,99
2409,152
2410,342
2411,592
2412,369
2413,1205348
2415,20
2416,312
2417,11
2418,9487
2419,859
2420,425
2421,72
2422,208053
2423,9807
2424,73
2425,2457
2426,30
2427,1440
2428,13004
2429,97
2430,8
2431,1767
2432,23278
2433,50
2434,1048
2435,523
2436,246
2437,19
2438,23620
2439,16586
2440,10
2441,60
2442,216
2443,1794
2444,828
2445,54832
2446,8341
2447,48010
2448,118
2449,61524
2450,31
2451,74
2452,336356
2453,472
2454,238
2455,3056
2456,6
2457,4429
2458,462
2459,102
2460,19021
2461,11
2462,2522
2463,34
2464,146
2465,50
2466,2096
2467,23
2468,103
2469,7800
2470,1520
2471,1013
2472,422
2473,31
2474,126
2475,914
2476,963
2477,25
2478,2106
2479,20
2480,1471
2481,4443
2482,6333
2483,61
2484,60306
2485,21
2486,1637
2487,663670
2488,10
2489,118797
2490,20684
2491,5539
2492,34722
2493,9792
2494,34
2495,10968
2496,15
2497,34
2498,272
2499,438
2501,23262
2502,1162
2503,9
2504,108
2505,544
2506,81
2507,135
2508,26
2509,569
2510,83381
2511,1081
2512,37
2513,29961
2514,2375
2515,7
2516,118
2517,258
2518,462
2519,95
2520,135
2521,1574
2522,457
2523,886
2524,11071
2525,125
2526,46
2527,1860
2528,2614
2529,8210
2530,20246
2531,157
2532,2643
2533,417
2534,9404
2535,6
2536,773
2537,334
2538,369
2539,14
2540,167
2541,775
2542,1046
2543,152
2544,233
2545,93
2546,82455
2547,3531
2548,2079
2549,213
2550,12626
2551,7
2554,618641
2555,11971
2556,322
2557,351290
2558,3824
2559,16242
2560,2
2561,335568
2562,1
2563,27
2564,36
2565,13
2566,392
2567,280
2568,1706
2569,14
2570,82
2571,3415
2573,194
2575,62
2576,630796
2577,40340
2578,62294
2579,1
2580,803
2581,68563
2582,32218
2583,108159
2584,1253
2585,1340
2586,109215
2587,319
2588,1723
2589,341
2591,85223
2592,2973
2593,4101
2594,39980
2595,26243
2596,110
2597,505189
2598,794875
2599,72
2600,34202
2601,1554
2602,113695
2603,7602
2604,41
2605,10632
2608,142
2609,603
2610,986170
2611,1480578
2612,42
2613,4493
2614,317
2615,238395
2616,2235
2617,24
2618,2934
2619,5
2620,45026618
2621,36040
2622,200
2623,1668
2624,419
2625,81730
2626,1
2627,5
2628,7043191
2629,825
2630,70
2631,1352
2632,861
2633,20373
2634,246
2635,96
2636,22
2637,396
2638,6
2639,368
2640,26033
2641,29
2642,107
2643,21963
2644,774
2645,78
2647,8554
2648,54326
2649,47
2650,5582
2651,2818
2652,162621
2653,76
2654,6185
2655,5
2656,26
2657,4
2658,5036
2659,31
2660,1618
2661,99228
2662,7272
2663,9486
2664,272
2665,4
2666,324
2667,1123
2668,72336
2669,572
2670,1581
2671,2167
2672,278
2673,353354
2674,2
2675,11
2676,26
2677,1081
2678,993
2679,423855
2680,57
2681,103
2682,24
2683,219
2684,13864
2685,11726
2686,4769
2687,1287
2688,5
2689,2183
2690,1421
2691,0
2692,84
2694,579
2695,6291338
2696,635
2697,17915
2698,93
2699,452
2700,32801
2701,1
2702,50
2705,63
2707,35195
2708,340
2709,978
2710,283
2711,238
2712,35
2713,108414
2714,3
2715,66149
2717,32654
2718,98
2719,9348
2720,623
2721,100167
2722,513
2723,4499
2724,53
2725,313
2726,3974
2727,19
2728,58
2730,142
2731,9
2732,1671
2733,7
2734,5
2735,153149
2737,588
2738,95
2739,275
2740,553
2741,93
2742,3436
2743,551326
2744,117
2745,4672
2746,3
2747,379
2748,52619
2750,8
2751,298
2752,3135
2754,4007
2755,730
2756,36
2757,5
2758,1282
2759,238
2760,5873
2761,570
2762,1616042
2763,424
2764,480
2765,31746
2766,235743
2767,18
2768,4734
2769,2334
2770,1745
2771,839
2772,16267
2773,51
